"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"sf","sf","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0-16",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, Rcpp (>= 0.12.18), s2 (>= 1.1.0), stats, tools, units
(>= 0.7-0), utils","Rcpp","blob, nanoarrow, covr, dplyr (>= 1.0.0), ggplot2, knitr,
lwgeom (>= 0.2-14), maps, mapview, Matrix, microbenchmark,
odbc, pbapply, pillar, pool, raster, rlang, rmarkdown,
RPostgres (>= 1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4),
spatstat (>= 2.0-1), spatstat.geom, spatstat.random,
spatstat.linnet, spatstat.utils, stars (>= 0.2-0), terra,
testthat (>= 3.0.0), tibble (>= 1.4.1), tidyr (>= 1.2.0),
tidyselect (>= 1.0.0), tmap (>= 2.0), vctrs, wk (>= 0.9.0)",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"sfheaders","sfheaders","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.4",NA,"R (>= 3.0.2)","Rcpp (>= 1.0.10)","geometries (>= 0.2.4), Rcpp","covr, knitr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"sfhotspot","sfhotspot","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8.0",NA,"R (>= 2.10)","ggplot2, rlang, sf, SpatialKDE, spdep, tibble",NA,"testthat (>= 3.0.0), lubridate, knitr, rmarkdown, ggspatial",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"sftime","sftime","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2-0",NA,"sf (>= 1.0.7)","methods",NA,"knitr, spacetime, rmarkdown, dplyr (>= 0.8-3), trajectories
(>= 0.2.2), stars, ncmeta, tidyr, ggplot2, magrittr, sp, rlang",NA,"Apache License",NA,NA,NA,NA,"no","4.3.1"
"sfweight","sfweight","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.0.0.9002",NA,"R (>= 2.10)","lifecycle, sf, spdep",NA,"tibble, tidyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shape","shape","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.6.1",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.2"
"shiny","shiny","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.9.1",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.6.0), cachem (>= 1.1.0), lifecycle (>= 0.2.0)",NA,"datasets, DT, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr
(>= 1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"shinybusy","shinybusy","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.3",NA,NA,"htmltools, shiny, jsonlite, htmlwidgets",NA,"testthat, covr, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"shinydashboard","shinydashboard","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.7.2",NA,"R (>= 3.0)","utils, shiny (>= 1.0.0), htmltools (>= 0.2.6), promises",NA,NA,NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinyFiles","shinyFiles","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9.3",NA,NA,"htmltools, jsonlite, tools, shiny (>= 1.1.0), fs (>= 1.2.6),
tibble (>= 1.4.2)",NA,"covr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"shinyjs","shinyjs","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"shinyWidgets","shinyWidgets","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8.6",NA,"R (>= 3.1.0)","anytime, bslib, sass, shiny (>= 1.6.0), htmltools (>= 0.5.1),
jsonlite, grDevices, rlang",NA,"testthat, covr, ggplot2, DT, scales, shinydashboard,
shinydashboardPlus",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"shotGroups","shotGroups","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8.2",NA,"R (>= 3.5.0)","boot, coin, CompQuadForm (>= 1.4.2), graphics, grDevices,
KernSmooth, robustbase, stats, tools, utils",NA,"knitr, markdown, energy, mvoutlier, shiny, jsonlite, interp,
MBA, bs4Dash",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"signal","signal","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.8-1",NA,"R (>= 3.5.0)","MASS, graphics, grDevices, stats, utils",NA,"pracma","matlab","GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"sjlabelled","sjlabelled","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.0",NA,"R (>= 3.4)","insight, datawizard, stats, tools, utils",NA,"dplyr, haven (>= 1.1.2), magrittr, sjmisc, sjPlot, knitr,
rlang, rmarkdown, snakecase, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"sjmisc","sjmisc","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.8.10",NA,"R (>= 3.4)","dplyr, insight, datawizard, magrittr, methods, purrr, rlang,
sjlabelled (>= 1.1.1), stats, tidyselect, utils",NA,"ggplot2, graphics, haven (>= 2.0.0), mice, nnet, sjPlot,
sjstats, knitr, rmarkdown, stringdist, testthat, tidyr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"sjPlot","sjPlot","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.8.16",NA,"R (>= 3.6)","graphics, grDevices, stats, utils, bayestestR, datawizard,
dplyr, ggeffects, ggplot2 (>= 3.2.0), knitr, insight, MASS,
parameters, performance, purrr, rlang, scales, sjlabelled (>=
1.1.2), sjmisc (>= 2.8.2), sjstats (>= 0.17.8), tidyr (>=
1.0.0)",NA,"brms, car, clubSandwich, cluster, cowplot, effects, haven,
GPArotation, ggrepel, glmmTMB, gridExtra, ggridges, httr, lme4,
nFactors, pscl, psych, rmarkdown, rstanarm, sandwich, splines,
survey, TMB, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"sjstats","sjstats","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.19.0",NA,"R (>= 3.4), utils","datawizard, effectsize (>= 0.8.8), insight, parameters,
performance, stats",NA,"brms, car, coin, ggplot2, lme4, MASS, pscl, pwr, survey,
testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"slippymath","slippymath","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.1",NA,"R (>= 3.5.0)","raster, purrr, stats, png",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"snow","snow","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","4.3.0"
"sourcetools","sourcetools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"sp","sp","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1-4",NA,"R (>= 3.5.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, gstat, deldir, knitr, rmarkdown, sf, terra,
raster",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spacetime","spacetime","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3-1",NA,"R (>= 3.0.0)","graphics, utils, stats, methods, lattice, sp (>= 1.1-0), zoo
(>= 1.7-9), xts (>= 0.8-8), intervals",NA,"adehabitatLT, cshapes (>= 2.0), foreign, gstat (>= 1.0-16),
maps, mapdata, plm, raster, RColorBrewer, rmarkdown,
RPostgreSQL, knitr, googleVis, ISOcodes, markdown, sf, sftime",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"spam","spam","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.10-0",NA,"R (>= 3.5)","dotCall64, grid, methods, Rcpp (>= 1.0.8.3)","Rcpp","spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"SparseM","SparseM","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.84-2",NA,"R (>= 2.15), methods","graphics, stats, utils",NA,"knitr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spatial","spatial","C:/Users/bdav_/AppData/Local/R/win-library/4.3","7.3-17","recommended","R (>= 3.0.0), graphics, stats, utils",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"spatialEco","spatialEco","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0-2",NA,"R (>= 4.2)","sf, terra",NA,"spatstat.geom (>= 3.0-3), spatstat.explore, spdep, ks,
cluster, readr, RCurl, RANN, rms, yaImpute, mgcv, zyp,
SpatialPack (>= 0.3), MASS, caret, dplyr, earth, Matrix, gstat,
spatstat.data, methods, units, sp, stringr, lwgeom, geodata",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"SpatialKDE","SpatialKDE","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8.2",NA,NA,"sf, dplyr, glue, magrittr, rlang, vctrs, methods, raster","cpp11, progress","tmap, sp, knitr, rmarkdown, testthat (>= 2.99.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"SpatialPack","SpatialPack","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4",NA,"R(>= 3.5.0), fastmatrix","stats, graphics","fastmatrix",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"spatstat","spatstat","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.1-1",NA,"R (>= 3.5.0), spatstat.data (>= 3.1-0), spatstat.univar (>=
3.0-0), spatstat.geom (>= 3.3-0), spatstat.random (>= 3.3-0),
spatstat.explore (>= 3.3-0), spatstat.model (>= 3.3-0),
spatstat.linnet (>= 3.2-0), utils","spatstat.utils (>= 3.0-5)",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spatstat.data","spatstat.data","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.1-2",NA,"R (>= 3.5.0)","spatstat.utils (>= 3.0-5), Matrix",NA,"spatstat.geom, spatstat.random, spatstat.explore,
spatstat.model, spatstat.linnet",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"spatstat.explore","spatstat.explore","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.3-2",NA,"R (>= 3.5.0), spatstat.data (>= 3.1-2), spatstat.univar (>=
3.0-0), spatstat.geom (>= 3.3-2), spatstat.random (>= 3.3-1),
stats, graphics, grDevices, utils, methods, nlme","spatstat.utils (>= 3.1-0), spatstat.sparse (>= 3.1-0), goftest
(>= 1.2-2), Matrix, abind",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8),
spatstat.linnet (>= 3.2-1), spatstat.model (>= 3.3-1), spatstat
(>= 3.1-1)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spatstat.geom","spatstat.geom","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.3-2",NA,"R (>= 3.5.0), spatstat.data (>= 3.1), spatstat.univar (>=
3.0-0), stats, graphics, grDevices, utils, methods","spatstat.utils (>= 3.0-5), deldir (>= 1.0-2), polyclip (>=
1.10-0)",NA,"spatstat.random, spatstat.explore, spatstat.model,
spatstat.linnet, spatial, fftwtools (>= 0.9-8), spatstat (>=
3.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spatstat.linnet","spatstat.linnet","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.2-1",NA,"R (>= 3.5.0), spatstat.data (>= 3.0-4), spatstat.univar (>=
3.0-0), spatstat.geom (>= 3.2-9.028), spatstat.random (>=
3.2-3.003), spatstat.explore (>= 3.2-7.006), spatstat.model (>=
3.2-11.005), stats, graphics, grDevices, methods, utils","spatstat.utils (>= 3.0-5), Matrix, spatstat.sparse (>= 3.1-0)",NA,"goftest, locfit, spatstat (>= 3.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spatstat.model","spatstat.model","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.3-1",NA,"R (>= 3.5.0), spatstat.data (>= 3.0-4), spatstat.univar (>=
3.0-0), spatstat.geom (>= 3.3-0), spatstat.random (>= 3.3-0),
spatstat.explore (>= 3.3-0), stats, graphics, grDevices, utils,
methods, nlme, rpart","spatstat.utils (>= 3.0-5), spatstat.sparse (>= 3.1-0), mgcv,
Matrix, abind, tensor, goftest (>= 1.2-2)",NA,"sm, gsl, locfit, spatial, fftwtools (>= 0.9-8), nleqslv,
glmnet, spatstat.linnet (>= 3.1-5), spatstat (>= 3.0-8)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spatstat.random","spatstat.random","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.3-1",NA,"R (>= 3.5.0), spatstat.data (>= 3.1), spatstat.univar (>=
3.0-0), spatstat.geom (>= 3.3-0), stats, utils, methods,
grDevices","spatstat.utils (>= 3.0-5)",NA,"spatial, spatstat.linnet (>= 3.1-5), spatstat.explore,
spatstat.model, spatstat (>= 3.0), gsl",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spatstat.sparse","spatstat.sparse","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.1-0",NA,"R (>= 3.5.0), stats, utils, methods, Matrix, abind, tensor","spatstat.utils (>= 3.0-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spatstat.univar","spatstat.univar","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.0-0",NA,"R (>= 3.5.0), stats","spatstat.utils (>= 3.0-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spatstat.utils","spatstat.utils","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.1-0",NA,"R (>= 3.5.0), stats, graphics, grDevices, utils, methods",NA,NA,"spatstat.model",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spData","spData","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.3.1",NA,"R (>= 3.3.0)","sp",NA,"foreign, sf (>= 0.9-1), spDataLarge (>= 0.4.0), spdep,
spatialreg",NA,"CC0",NA,NA,NA,NA,"no","4.3.3"
"spdep","spdep","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3-5",NA,"R (>= 3.3.0), methods, spData (>= 2.3.1), sf","stats, deldir, boot (>= 1.3-1), graphics, utils, grDevices,
units, s2, e1071, sp (>= 1.0)",NA,"spatialreg (>= 1.2-1), Matrix, parallel, dbscan,
RColorBrewer, lattice, xtable, foreign, igraph, RSpectra,
knitr, classInt, tmap, spam, ggplot2, rmarkdown, tinytest,
rgeoda",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"spgwr","spgwr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6-37",NA,"R (>= 2.14), sp (>= 0.8-3), spData (>= 2.3.1)","stats, methods",NA,"spdep, parallel, sf, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"splancs","splancs","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.01-45",NA,"R (>= 2.10.0), sp (>= 0.9)","stats, graphics, grDevices, methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"SQUAREM","SQUAREM","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2021.1",NA,"R (>= 3.0)",NA,NA,"setRNG",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
"stars","stars","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6-6",NA,"R (>= 3.3.0), abind, sf (>= 1.0-15)","methods, parallel, classInt (>= 0.4-1), rlang, units",NA,"Cairo, OpenStreetMap, PCICt, RNetCDF (>= 1.8-2), clue, covr,
cubble (>= 0.3.0), cubelyr, digest, dplyr (>= 0.7-0),
exactextractr, FNN, future.apply, ggforce, ggplot2, ggthemes,
gstat, httr, jsonlite, knitr, lwgeom, maps, mapdata, ncdfgeom,
ncmeta (>= 0.0.3), pbapply, plm, randomForest, raster,
rmarkdown, sp, spacetime, spatstat (>= 2.0-1), spatstat.geom,
starsdata, terra (>= 1.4-22), testthat, tibble, tidyr, tsibble,
viridis, xts, zoo",NA,"Apache License",NA,NA,NA,NA,"no","4.3.3"
"stringi","stringi","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.8.4",NA,"R (>= 3.4)","tools, utils, stats",NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.3.3"
"stringr","stringr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.1",NA,"R (>= 3.6)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs (>= 0.4.0)",NA,"covr, dplyr, gt, htmltools, htmlwidgets, knitr, rmarkdown,
testthat (>= 3.0.0), tibble",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"survival","survival","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.7-0","recommended","R (>= 3.5.0)","graphics, Matrix, methods, splines, stats, utils",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"svglite","svglite","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.3",NA,"R (>= 3.5.0)","systemfonts (>= 1.0.0)","cpp11, systemfonts","covr, fontquiver (>= 0.2.0), htmltools, knitr, rmarkdown,
testthat (>= 3.0.0), xml2 (>= 1.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"svgViewR","svgViewR","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.3",NA,"R (>= 3.2.4)","grid, rjson, methods, Rcpp (>= 0.9.9)","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"sys","sys","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.4.2",NA,NA,NA,NA,"unix (>= 1.4), spelling, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"systemfonts","systemfonts","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.0",NA,"R (>= 3.2.0)","lifecycle","cpp11 (>= 0.2.1)","covr, knitr, rmarkdown, testthat (>= 2.1.0), tools",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"tensor","tensor","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.3.0"
"terra","terra","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.7-78",NA,"R (>= 3.5.0)","methods, Rcpp (>= 1.0-10)","Rcpp","parallel, tinytest, ncdf4, sf (>= 0.9-8), deldir, XML,
leaflet (>= 2.2.1), htmlwidgets",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.3"
"terrainr","terrainr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.7.5",NA,"R (>= 2.10)","base64enc, ggplot2 (>= 3.4.0), glue, grDevices, httr, magick
(>= 2.5.0), methods, png, rlang, sf (>= 1.0-5), terra, unifir,
units",NA,"brio, covr, jpeg, knitr, progress, progressr, rmarkdown,
testthat, tiff",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"testthat","testthat","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.2.1.1",NA,"R (>= 3.6.0)","brio (>= 1.1.3), callr (>= 3.7.3), cli (>= 3.6.1), desc (>=
1.4.2), digest (>= 0.6.33), evaluate (>= 0.21), jsonlite (>=
1.8.7), lifecycle (>= 1.0.3), magrittr (>= 2.0.3), methods,
pkgload (>= 1.3.2.1), praise (>= 1.0.0), processx (>= 3.8.2),
ps (>= 1.7.5), R6 (>= 2.5.1), rlang (>= 1.1.1), utils, waldo
(>= 0.5.1), withr (>= 2.5.0)",NA,"covr, curl (>= 0.9.5), diffviewer (>= 0.1.0), knitr,
rmarkdown, rstudioapi, shiny, usethis, vctrs (>= 0.1.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"textshaping","textshaping","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4.0",NA,"R (>= 3.2.0)","lifecycle, systemfonts (>= 1.1.0)","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)","covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"TH.data","TH.data","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1-2",NA,"R (>= 3.5.0), survival, MASS",NA,NA,"trtf, tram, rms, coin, ATR, multcomp, gridExtra, vcd,
colorspace, lattice, knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"tibble","tibble","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.2.1",NA,"R (>= 3.4.0)","fansi (>= 0.4.0), lifecycle (>= 1.0.0), magrittr, methods,
pillar (>= 1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs
(>= 0.4.2)",NA,"bench, bit64, blob, brio, callr, cli, covr, crayon (>=
1.3.4), DiagrammeR, dplyr, evaluate, formattable, ggplot2,
here, hms, htmltools, knitr, lubridate, mockr, nycflights13,
pkgbuild, pkgload, purrr, rmarkdown, stringi, testthat (>=
3.0.2), tidyr, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"tictoc","tictoc","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.1",NA,"R (>= 2.15), methods",NA,NA,"testthat (>= 3.0.0)",NA,"Apache License (== 2.0) | file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"tidygeocoder","tidygeocoder","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.5",NA,"R (>= 3.3.0)","tibble, dplyr, httr, jsonlite, lifecycle, progress",NA,"knitr, rmarkdown, ggplot2, ggrepel, maps, testthat (>= 3.0.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"tidygraph","tidygraph","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.1",NA,NA,"cli, dplyr (>= 0.8.5), igraph (>= 2.0.0), lifecycle, magrittr,
pillar, R6, rlang, stats, tibble, tidyr, tools, utils","cpp11","ape, covr, data.tree, graph, influenceR, methods, netrankr,
NetSwan, network, seriation, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"tidyr","tidyr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.1",NA,"R (>= 3.6)","cli (>= 3.4.1), dplyr (>= 1.0.10), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.1.1), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.0), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)","covr, data.table, knitr, readr, repurrrsive (>= 1.1.0),
rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"tidyselect","tidyselect","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.1",NA,"R (>= 3.4)","cli (>= 3.3.0), glue (>= 1.3.0), lifecycle (>= 1.0.3), rlang
(>= 1.0.4), vctrs (>= 0.5.2), withr",NA,"covr, crayon, dplyr, knitr, magrittr, rmarkdown, stringr,
testthat (>= 3.1.1), tibble (>= 2.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"tidyterra","tidyterra","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6.1",NA,"R (>= 3.6.0)","cli (>= 3.0.0), data.table, dplyr (>= 1.0.0), ggplot2 (>=
3.5.0), magrittr, rlang, scales, sf (>= 1.0.0), terra (>=
1.5-12), tibble (>= 3.0.0), tidyr (>= 1.0.0)",NA,"hexbin, isoband, knitr, lifecycle, maptiles, metR, rmarkdown,
s2, testthat (>= 3.0.0), vctrs, vdiffr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"tidyverse","tidyverse","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.0",NA,"R (>= 3.3)","broom (>= 1.0.3), conflicted (>= 1.2.0), cli (>= 3.6.0),
dbplyr (>= 2.3.0), dplyr (>= 1.1.0), dtplyr (>= 1.2.2), forcats
(>= 1.0.0), ggplot2 (>= 3.4.1), googledrive (>= 2.0.0),
googlesheets4 (>= 1.0.1), haven (>= 2.5.1), hms (>= 1.1.2),
httr (>= 1.4.4), jsonlite (>= 1.8.4), lubridate (>= 1.9.2),
magrittr (>= 2.0.3), modelr (>= 0.1.10), pillar (>= 1.8.1),
purrr (>= 1.0.1), ragg (>= 1.2.5), readr (>= 2.1.4), readxl (>=
1.4.2), reprex (>= 2.0.2), rlang (>= 1.0.6), rstudioapi (>=
0.14), rvest (>= 1.0.3), stringr (>= 1.5.0), tibble (>= 3.1.8),
tidyr (>= 1.3.0), xml2 (>= 1.3.3)",NA,"covr (>= 3.6.1), feather (>= 0.3.5), glue (>= 1.6.2), mockr
(>= 0.2.0), knitr (>= 1.41), rmarkdown (>= 2.20), testthat (>=
3.1.6)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"tiff","tiff","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1-12",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.2"
"tigris","tigris","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1",NA,"R (>= 3.3.0)","stringr, magrittr, utils, rappdirs, httr, uuid, sf, dplyr,
methods",NA,"testthat, ggplot2, ggthemes, leaflet, knitr, tidycensus, sp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"timechange","timechange","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.0",NA,"R (>= 3.3)",NA,"cpp11 (>= 0.2.7)","testthat (>= 0.7.1.99), knitr",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.3.3"
